1 0 0  <1-45-18>%6
2 0 0  <1-46-20>%6
3 0 0  <1-46-21>%6
4 0 0  <1-46-22>%6
5 0 0  <1-47-23>%6
6 0 0  <2-70-9>%6
7 0 0  <3-90-6>%6
8 0 0  <3-90-7>%6
9 0 0  <3-92-9>%6
10 0 0  <3-92-10>%6
11 0 0  <3-93-11>%6
12 0 0  <3-93-12>%6
13 0 0  <4-100-1>%6
14 0 0  <4-100-2>%6
15 0 0  <4-100-3>%6
16 0 0  <4-101-4>%6
17 0 0  <4-101-5>%6
18 0 0  <4-102-6>%6
19 0 0  <4-102-8>%6
20 0 0  <4-106-13>%6
21 0 0  <4-113-16>%6
22 0 0  <5-124-3>%6
23 0 0  <5-124-4>%6
24 0 0  <5-124-5>%6
25 0 0  <5-124-6>%6
26 0 0  <5-124-7>%6
27 0 0  <5-124-8>%6
28 0 0  <5-124-9>%6
29 0 0  <5-124-10>%6
30 0 0  <5-131-11>%6
31 0 0  <5-131-12>%6
32 0 0  <5-131-13>%6
33 0 0  <5-131-14>%6
34 0 0  <5-131-15>%6
35 0 0  <5-131-16>%6
36 0 0  <5-131-17>%6
37 0 0  <5-131-18>%6
38 0 0  <5-131-19>%6
39 0 0  <5-131-20>%6
40 0 0  <6-148-6>%6
41 0 0  <6-149-7>%6
42 0 0  <6-149-8>%6
43 0 0  <6-152-10>%6
44 0 0  <6-154-12>%6
45 0 0  <6-154-13>%6
46 0 0  <6-154-14>%6
47 0 0  <6-155-15>%6
48 0 0  <6-155-16>%6
49 0 0  <6-156-17>%6
50 0 0  <6-156-18>%6
51 0 0  <6-158-19>%6
52 0 0  <6-158-20>%6
53 0 0  <6-160-21>%6
54 0 0  <6-161-23>%6
55 0 0  <6-161-24>%6
56 0 0  <6-162-25>%6
57 0 0  <6-162-26>%6
58 0 0  <6-162-27>%6
59 0 0  <6-162-28>%6
60 0 0  <6-162-29>%6
61 0 0  <6-163-31>%6
62 0 0  <6-164-32>%6
63 0 0  <6-164-33>%6
64 0 0  <6-164-34>%6
65 0 0  <6-165-37>%6
66 0 0  <6-165-38>%6
67 0 0  <6-167-40>%6
68 0 0  <6-167-41>%6
